Materia,Total_Cupos,Total_Secciones,Residuos_Cupos,semestre_numerico,semestre_original
ADMINISTRACION DE BASES DE DATOS,310,8,166,4042,2021A
ADMINISTRACION DE REDES,366,9,159,4042,2021A
ADMINISTRACION DE SERVIDORES,294,7,65,4042,2021A
ALGORITMIA,381,8,39,4042,2021A
ALMACENES DE DATOS (DATA WAREHOUSE),245,6,147,4042,2021A
BASES DE DATOS,400,10,22,4042,2021A
CLASIFICACION INTELIGENTE DE DATOS,160,4,50,4042,2021A
COMPUTO FLEXIBLE (SOFTCOMPUTING),99,1,39,4042,2021A
CONTROL DE PROYECTOS,271,7,116,4042,2021A
ESTADISTICA Y PROCESOS ESTOCASTICOS,643,16,31,4042,2021A
ESTRUCTURAS DE DATOS I,721,18,208,4042,2021A
ESTRUCTURAS DE DATOS II,467,11,131,4042,2021A
HIPERMEDIA,280,7,61,4042,2021A
INGENIERIA DE SOFTWARE I,385,9,42,4042,2021A
INGENIERIA DE SOFTWARE II,160,4,47,4042,2021A
MATEMATICA DISCRETA,608,15,50,4042,2021A
METODOS MATEMATICOS I,1126,29,256,4042,2021A
METODOS MATEMATICOS II,926,23,117,4042,2021A
MINERIA DE DATOS,160,4,45,4042,2021A
PROGRAMACION,1402,35,528,4042,2021A
PROGRAMACION PARA INTERNET,640,16,323,4042,2021A
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,99,1,41,4042,2021A
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",99,1,42,4042,2021A
SEGURIDAD DE LA INFORMACION,137,3,7,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,380,16,16,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,911,45,53,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,420,14,38,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,552,19,76,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,320,16,16,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,1240,31,332,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,924,23,90,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,265,9,17,4042,2021A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",131,5,19,4042,2021A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,125,5,24,4042,2021A
SISTEMAS BASADOS EN CONOCIMIENTO,125,5,19,4042,2021A
TEORIA DE LA COMPUTACION,401,10,33,4042,2021A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",120,3,12,4042,2021A
ADMINISTRACION DE BASES DE DATOS,222,8,71,4043,2021B
ADMINISTRACION DE REDES,244,9,55,4043,2021B
ADMINISTRACION DE SERVIDORES,254,7,76,4043,2021B
ALGORITMIA,411,10,63,4043,2021B
ALMACENES DE DATOS (DATA WAREHOUSE),180,6,46,4043,2021B
BASES DE DATOS,347,10,41,4043,2021B
CLASIFICACION INTELIGENTE DE DATOS,120,4,15,4043,2021B
COMPUTO FLEXIBLE (SOFTCOMPUTING),99,1,33,4043,2021B
CONTROL DE PROYECTOS,194,7,25,4043,2021B
ESTADISTICA Y PROCESOS ESTOCASTICOS,656,16,39,4043,2021B
ESTRUCTURAS DE DATOS I,720,18,135,4043,2021B
ESTRUCTURAS DE DATOS II,386,10,54,4043,2021B
HIPERMEDIA,182,7,8,4043,2021B
INGENIERIA DE SOFTWARE I,361,9,36,4043,2021B
INGENIERIA DE SOFTWARE II,144,4,6,4043,2021B
MATEMATICA DISCRETA,330,8,16,4043,2021B
METODOS MATEMATICOS I,750,20,122,4043,2021B
METODOS MATEMATICOS II,903,23,207,4043,2021B
MINERIA DE DATOS,120,4,7,4043,2021B
PROGRAMACION,1327,34,447,4043,2021B
PROGRAMACION PARA INTERNET,385,16,39,4043,2021B
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,99,1,37,4043,2021B
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",99,1,35,4043,2021B
SEGURIDAD DE LA INFORMACION,160,4,26,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,390,16,32,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,1003,42,176,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,447,16,68,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,547,19,53,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,409,16,42,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,743,20,74,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,817,23,56,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,316,9,40,4043,2021B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",130,5,5,4043,2021B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,120,5,5,4043,2021B
SISTEMAS BASADOS EN CONOCIMIENTO,150,5,32,4043,2021B
TEORIA DE LA COMPUTACION,416,10,47,4043,2021B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",120,3,7,4043,2021B
ADMINISTRACION DE BASES DE DATOS,211,7,4,4044,2022A
ADMINISTRACION DE REDES,270,9,69,4044,2022A
ADMINISTRACION DE SERVIDORES,240,7,24,4044,2022A
ALGORITMIA,439,11,16,4044,2022A
ALMACENES DE DATOS (DATA WAREHOUSE),160,5,11,4044,2022A
BASES DE DATOS,415,12,24,4044,2022A
CLASIFICACION INTELIGENTE DE DATOS,120,4,6,4044,2022A
COMPUTO FLEXIBLE (SOFTCOMPUTING),40,1,-17,4044,2022A
CONTROL DE PROYECTOS,180,6,9,4044,2022A
ESTADISTICA Y PROCESOS ESTOCASTICOS,701,18,73,4044,2022A
ESTRUCTURAS DE DATOS I,626,18,39,4044,2022A
ESTRUCTURAS DE DATOS II,480,12,55,4044,2022A
HIPERMEDIA,180,6,9,4044,2022A
INGENIERIA DE SOFTWARE I,360,9,71,4044,2022A
INGENIERIA DE SOFTWARE II,128,4,3,4044,2022A
MATEMATICA DISCRETA,441,11,110,4044,2022A
METODOS MATEMATICOS I,803,20,177,4044,2022A
METODOS MATEMATICOS II,668,17,86,4044,2022A
MINERIA DE DATOS,150,5,15,4044,2022A
PROGRAMACION,1115,30,447,4044,2022A
PROGRAMACION PARA INTERNET,420,17,72,4044,2022A
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,99,1,46,4044,2022A
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",99,1,46,4044,2022A
SEGURIDAD DE LA INFORMACION,160,4,27,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,448,17,24,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,840,35,194,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,440,16,68,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,476,19,37,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,435,16,54,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,802,20,177,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,640,16,75,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,344,9,41,4044,2022A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",180,5,19,4044,2022A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,150,5,27,4044,2022A
SISTEMAS BASADOS EN CONOCIMIENTO,150,5,20,4044,2022A
TEORIA DE LA COMPUTACION,377,10,30,4044,2022A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",126,3,2,4044,2022A
ADMINISTRACION DE BASES DE DATOS,275,7,83,4045,2022B
ADMINISTRACION DE REDES,270,9,30,4045,2022B
ADMINISTRACION DE SERVIDORES,280,7,63,4045,2022B
ALGORITMIA,440,11,38,4045,2022B
ALMACENES DE DATOS (DATA WAREHOUSE),200,5,28,4045,2022B
BASES DE DATOS,480,12,203,4045,2022B
CLASIFICACION INTELIGENTE DE DATOS,160,4,20,4045,2022B
COMPUTO FLEXIBLE (SOFTCOMPUTING),99,1,58,4045,2022B
CONTROL DE PROYECTOS,240,6,140,4045,2022B
ESTADISTICA Y PROCESOS ESTOCASTICOS,653,18,61,4045,2022B
ESTRUCTURAS DE DATOS I,640,16,190,4045,2022B
ESTRUCTURAS DE DATOS II,480,12,68,4045,2022B
HIPERMEDIA,215,6,9,4045,2022B
INGENIERIA DE SOFTWARE I,360,9,40,4045,2022B
INGENIERIA DE SOFTWARE II,160,4,25,4045,2022B
MATEMATICA DISCRETA,350,10,38,4045,2022B
METODOS MATEMATICOS I,800,20,221,4045,2022B
METODOS MATEMATICOS II,620,17,92,4045,2022B
MINERIA DE DATOS,200,5,40,4045,2022B
PROGRAMACION,920,23,303,4045,2022B
PROGRAMACION PARA INTERNET,575,16,174,4045,2022B
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,170,1,50,4045,2022B
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",170,1,50,4045,2022B
SEGURIDAD DE LA INFORMACION,170,4,2,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,380,16,35,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,720,30,131,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,361,15,3,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,499,19,15,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,384,16,30,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,801,20,178,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,597,16,77,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,244,9,15,4045,2022B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",162,5,27,4045,2022B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,230,6,78,4045,2022B
SISTEMAS BASADOS EN CONOCIMIENTO,195,5,43,4045,2022B
TEORIA DE LA COMPUTACION,420,10,14,4045,2022B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",130,3,4,4045,2022B
ADMINISTRACION DE BASES DE DATOS,240,6,104,4046,2023A
ADMINISTRACION DE REDES,273,9,26,4046,2023A
ADMINISTRACION DE SERVIDORES,182,6,12,4046,2023A
ALGORITMIA,441,11,14,4046,2023A
ALMACENES DE DATOS (DATA WAREHOUSE),160,4,27,4046,2023A
BASES DE DATOS,251,6,4,4046,2023A
CLASIFICACION INTELIGENTE DE DATOS,184,5,51,4046,2023A
COMPUTO FLEXIBLE (SOFTCOMPUTING),99,1,33,4046,2023A
CONTROL DE PROYECTOS,240,6,36,4046,2023A
ESTADISTICA Y PROCESOS ESTOCASTICOS,680,17,147,4046,2023A
ESTRUCTURAS DE DATOS I,401,10,10,4046,2023A
ESTRUCTURAS DE DATOS II,480,12,101,4046,2023A
HIPERMEDIA,241,6,36,4046,2023A
INGENIERIA DE SOFTWARE I,361,9,28,4046,2023A
INGENIERIA DE SOFTWARE II,160,4,40,4046,2023A
MATEMATICA DISCRETA,60,3,12,4046,2023A
METODOS MATEMATICOS I,402,12,75,4046,2023A
METODOS MATEMATICOS II,564,14,112,4046,2023A
MINERIA DE DATOS,200,5,61,4046,2023A
PROGRAMACION,400,10,81,4046,2023A
PROGRAMACION PARA INTERNET,446,17,12,4046,2023A
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,99,1,39,4046,2023A
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",99,1,39,4046,2023A
SEGURIDAD DE LA INFORMACION,240,6,22,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,338,14,51,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,384,16,51,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,338,14,-7,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,433,18,-2,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,361,15,7,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,640,16,86,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,336,14,-5,4046,2023A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",120,5,0,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,200,5,61,4046,2023A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,422,12,67,4046,2023A
SISTEMAS BASADOS EN CONOCIMIENTO,144,4,18,4046,2023A
TEORIA DE LA COMPUTACION,401,10,27,4046,2023A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",200,5,32,4046,2023A
ADMINISTRACION DE BASES DE DATOS,160,5,2,4047,2023B
ADMINISTRACION DE REDES,242,8,-4,4047,2023B
ADMINISTRACION DE SERVIDORES,180,6,-6,4047,2023B
ALGORITMIA,280,7,16,4047,2023B
ALMACENES DE DATOS (DATA WAREHOUSE),160,4,9,4047,2023B
BASES DE DATOS,200,5,-1,4047,2023B
CLASIFICACION INTELIGENTE DE DATOS,184,5,32,4047,2023B
COMPUTO FLEXIBLE (SOFTCOMPUTING),99,1,30,4047,2023B
CONTROL DE PROYECTOS,240,6,5,4047,2023B
ESTADISTICA Y PROCESOS ESTOCASTICOS,526,15,51,4047,2023B
ESTRUCTURAS DE DATOS I,120,3,34,4047,2023B
ESTRUCTURAS DE DATOS II,402,10,55,4047,2023B
HIPERMEDIA,160,6,4,4047,2023B
INGENIERIA DE SOFTWARE I,424,11,51,4047,2023B
INGENIERIA DE SOFTWARE II,160,4,3,4047,2023B
MATEMATICA DISCRETA,30,1,13,4047,2023B
METODOS MATEMATICOS I,391,10,90,4047,2023B
METODOS MATEMATICOS II,401,11,56,4047,2023B
MINERIA DE DATOS,200,5,8,4047,2023B
PROGRAMACION,320,8,37,4047,2023B
PROGRAMACION PARA INTERNET,452,16,7,4047,2023B
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,99,1,30,4047,2023B
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",99,1,30,4047,2023B
SEGURIDAD DE LA INFORMACION,240,6,12,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,168,7,-3,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,312,13,32,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,289,12,-7,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,385,16,7,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,358,13,63,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,464,18,40,4047,2023B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",99,4,-7,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,240,6,78,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,144,6,17,4047,2023B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,420,12,110,4047,2023B
SISTEMAS BASADOS EN CONOCIMIENTO,145,4,14,4047,2023B
TEORIA DE LA COMPUTACION,320,8,18,4047,2023B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",161,4,2,4047,2023B
ADMINISTRACION DE BASES DE DATOS,200,5,32,4048,2024A
ADMINISTRACION DE REDES,121,5,28,4048,2024A
ADMINISTRACION DE SERVIDORES,240,6,4,4048,2024A
ALGORITMIA,282,7,42,4048,2024A
ALMACENES DE DATOS (DATA WAREHOUSE),160,4,3,4048,2024A
BASES DE DATOS,281,7,6,4048,2024A
CLASIFICACION INTELIGENTE DE DATOS,200,5,27,4048,2024A
COMPUTO FLEXIBLE (SOFTCOMPUTING),109,2,8,4048,2024A
CONTROL DE PROYECTOS,240,6,50,4048,2024A
ESTADISTICA Y PROCESOS ESTOCASTICOS,392,14,124,4048,2024A
ESTRUCTURAS DE DATOS I,40,1,1,4048,2024A
ESTRUCTURAS DE DATOS II,80,2,2,4048,2024A
HIPERMEDIA,240,6,32,4048,2024A
INGENIERIA DE SOFTWARE I,442,11,97,4048,2024A
INGENIERIA DE SOFTWARE II,161,4,19,4048,2024A
MATEMATICA DISCRETA,30,1,29,4048,2024A
METODOS MATEMATICOS I,370,10,66,4048,2024A
METODOS MATEMATICOS II,341,9,71,4048,2024A
MINERIA DE DATOS,201,5,31,4048,2024A
PROGRAMACION,321,8,54,4048,2024A
PROGRAMACION PARA INTERNET,452,16,62,4048,2024A
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,109,2,1,4048,2024A
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",109,2,0,4048,2024A
SEGURIDAD DE LA INFORMACION,246,6,39,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,313,13,16,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,336,14,69,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,314,13,0,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,148,6,0,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,339,12,70,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,412,17,35,4048,2024A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",138,5,1,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,72,3,6,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,337,12,50,4048,2024A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,205,5,32,4048,2024A
SISTEMAS BASADOS EN CONOCIMIENTO,170,4,16,4048,2024A
TEORIA DE LA COMPUTACION,200,5,82,4048,2024A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",167,4,0,4048,2024A
ADMINISTRACION DE BASES DE DATOS,151,4,0,4049,2024B
ADMINISTRACION DE REDES,120,5,84,4049,2024B
ADMINISTRACION DE SERVIDORES,144,4,1,4049,2024B
ALGORITMIA,140,4,49,4049,2024B
ALMACENES DE DATOS (DATA WAREHOUSE),141,4,2,4049,2024B
ANALISIS DE PROBLEMAS GLOBALES DEL SIGLO XXI,3290,25,538,4049,2024B
BASES DE DATOS,175,5,65,4049,2024B
CLASIFICACION INTELIGENTE DE DATOS,185,5,1,4049,2024B
COMPUTO FLEXIBLE (SOFTCOMPUTING),124,2,5,4049,2024B
CONTROL DE PROYECTOS,212,6,22,4049,2024B
ESTADISTICA Y PROCESOS ESTOCASTICOS,262,13,72,4049,2024B
ESTRUCTURAS DE DATOS I,35,1,30,4049,2024B
ESTRUCTURAS DE DATOS II,70,2,24,4049,2024B
HIPERMEDIA,143,6,29,4049,2024B
INGENIERIA DE SOFTWARE I,40,1,0,4049,2024B
INGENIERIA DE SOFTWARE II,161,4,1,4049,2024B
METODOS MATEMATICOS I,380,10,73,4049,2024B
METODOS MATEMATICOS II,300,9,47,4049,2024B
MINERIA DE DATOS,185,5,1,4049,2024B
PROGRAMACION,321,8,37,4049,2024B
PROGRAMACION PARA INTERNET,387,15,25,4049,2024B
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,119,2,7,4049,2024B
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",119,2,8,4049,2024B
SEGURIDAD DE LA INFORMACION,217,6,1,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,288,12,153,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,277,11,55,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,144,6,73,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,382,13,88,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,255,11,52,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,280,10,1,4049,2024B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",181,6,0,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,150,4,1,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,241,10,74,4049,2024B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,24,1,0,4049,2024B
SISTEMAS BASADOS EN CONOCIMIENTO,153,4,0,4049,2024B
TEORIA DE LA COMPUTACION,38,1,1,4049,2024B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",178,5,1,4049,2024B
ADMINISTRACION DE BASES DE DATOS,216,6,27,4050,2025A
ADMINISTRACION DE SERVIDORES,152,4,18,4050,2025A
ALGORITMIA,40,1,14,4050,2025A
ALMACENES DE DATOS (DATA WAREHOUSE),193,5,2,4050,2025A
ANALISIS DE PROBLEMAS GLOBALES DEL SIGLO XXI,3040,19,156,4050,2025A
BASES DE DATOS,38,2,11,4050,2025A
CLASIFICACION INTELIGENTE DE DATOS,248,7,28,4050,2025A
COMPUTO FLEXIBLE (SOFTCOMPUTING),198,2,63,4050,2025A
CONTROL DE PROYECTOS,140,4,49,4050,2025A
ESTADISTICA Y PROCESOS ESTOCASTICOS,207,10,25,4050,2025A
ESTRUCTURAS DE DATOS I,40,1,39,4050,2025A
ESTRUCTURAS DE DATOS II,38,1,30,4050,2025A
HIPERMEDIA,35,1,2,4050,2025A
INGENIERIA DE SOFTWARE I,44,1,1,4050,2025A
INGENIERIA DE SOFTWARE II,159,4,0,4050,2025A
METODOS MATEMATICOS I,183,5,22,4050,2025A
METODOS MATEMATICOS II,368,11,110,4050,2025A
MINERIA DE DATOS,175,5,5,4050,2025A
PROGRAMACION,228,6,86,4050,2025A
PROGRAMACION PARA INTERNET,183,8,3,4050,2025A
PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION,198,2,62,4050,2025A
"PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS",198,2,62,4050,2025A
SEGURIDAD DE LA INFORMACION,113,3,0,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,223,8,91,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,232,7,81,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,334,10,111,4050,2025A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",199,6,0,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,123,5,0,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,192,6,9,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,102,3,49,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,62,2,48,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,56,3,0,4050,2025A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,24,1,15,4050,2025A
SISTEMAS BASADOS EN CONOCIMIENTO,252,7,47,4050,2025A
TEORIA DE LA COMPUTACION,38,1,0,4050,2025A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",280,7,64,4050,2025A
